"annotation_id,""annotator"",""comment"",""created_at"",""id"",""lead_time"",""sentiment"",""updated_at"",""video_id"",""video_title"""
"407,""1"",""bersandar teras rumah sembari ngopi bermain permainan nyelot jptogel77 nikmat sekaleh"",""2025-03-19T07:40:16.365480Z"",401,11.272,""Online Gambling Promotion"",""2025-03-19T07:40:16.365480Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"408,""1"",""udah kali gue main jptogel77 wd meluncur aman bonus slalu"",""2025-03-19T07:40:17.885200Z"",402,1.046,""Online Gambling Promotion"",""2025-03-19T07:40:17.885200Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"409,""1"",""gw aja main jptogel77 x100 kuy mabar biar cuan bang sore mantappp rekomend banget pokok nya situs broo"",""2025-03-19T07:40:19.309535Z"",403,0.869,""Online Gambling Promotion"",""2025-03-19T07:40:19.309535Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"410,""1"",""mantap gua cobain gampang dapatin sketernya Udh gitu dapatin sketer isinya tau nama nya nih coba cari google JPTOGEL77 dijiamin nagih"",""2025-03-19T07:40:21.986181Z"",404,2.206,""Online Gambling Promotion"",""2025-03-19T07:40:21.986181Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"411,""1"",""lama2 bangkrut ni bossnya jptogel77 profit trus main kemaren wkkwkw"",""2025-03-19T07:40:24.672673Z"",405,2.154,""Online Gambling Promotion"",""2025-03-19T07:40:24.672673Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"412,""1"",""mantap bro jp JPTOGEL77 aja udah makasih udah kasih kemenangan"",""2025-03-19T07:40:26.652972Z"",406,1.444,""Online Gambling Promotion"",""2025-03-19T07:40:26.652972Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"413,""1"",""Modal receh hasil lumer mantap kali JPTOGEL77 sensasi maxwln berulang brooo kali nemu web seqacor chek langsung deh webbnya dp wd gesit prosesnya"",""2025-03-19T07:40:28.730765Z"",407,1.511,""Online Gambling Promotion"",""2025-03-19T07:40:28.730765Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"414,""1"",""J P TO G E L 7 7 auto win"",""2025-03-19T07:40:30.178482Z"",408,0.966,""Online Gambling Promotion"",""2025-03-19T07:40:30.178482Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"415,""1"",""gw aja main JPTOGEL77 x100 kuy mabar biar cuan bang sore mantappp rekomend banget pokok nya situs broo"",""2025-03-19T07:40:31.606921Z"",409,0.933,""Online Gambling Promotion"",""2025-03-19T07:40:31.606921Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"416,""1"",""Modal receh hasil lumer mantap kali JPTOGEL77 sensasi maxwn berulang brooo kali nemu web seqacor chek langsung deh webbnya dp wd gesit prosesnya"",""2025-03-19T07:40:32.969139Z"",410,0.851,""Online Gambling Promotion"",""2025-03-19T07:40:32.969139Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"417,""1"",""nih jam segini dikasih JPTOGEL77"",""2025-03-19T07:40:34.712240Z"",411,1.153,""Online Gambling Promotion"",""2025-03-19T07:40:34.712240Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"418,""1"",""cobain aja bro main JPTOGEL77 gue coba main langsung dikasih profit"",""2025-03-19T07:40:36.015276Z"",412,0.749,""Online Gambling Promotion"",""2025-03-19T07:40:36.015276Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"419,""1"",""mantap main udah dikasih menang aja JPTOGEL77 modal receh wd haha"",""2025-03-19T07:40:39.346952Z"",413,2.778,""Online Gambling Promotion"",""2025-03-19T07:40:39.346952Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"420,""1"",""Kalo gak coba nggak Rezaki bis ja J P T O G E L 77"",""2025-03-19T07:40:41.060558Z"",414,1.198,""Online Gambling Promotion"",""2025-03-19T07:40:41.060558Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"421,""1"",""TRENDING 1 GILAA MAMEEEN J P T O G E L 77"",""2025-03-19T07:40:42.621357Z"",415,1.073,""Online Gambling Promotion"",""2025-03-19T07:40:42.621357Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"422,""1"",""rngkad sempet putus asa sih main dapet referensi anak komunitas main JPTOGEL77 behhh semangat gw membara banget coy ngasi u google aja J P TO G E L 7 7"",""2025-03-19T07:40:46.335142Z"",416,3.185,""Online Gambling Promotion"",""2025-03-19T07:40:46.335142Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"423,""1"",""situs tu kyk J P TO G E L 7 7 kasi wede lancar ga apa2"",""2025-03-19T07:40:48.646174Z"",417,1.751,""Online Gambling Promotion"",""2025-03-19T07:40:48.646174Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"424,""1"",""gw kasi kisi2 halus sikit main la JPTOGEL77 anak nih brani kasi wr tinggi2 wkwkwkwk gas biar kapok"",""2025-03-19T07:41:01.150018Z"",418,11.969,""Online Gambling Promotion"",""2025-03-19T07:41:01.150018Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"425,""1"",""banget JPTOGEL77 cuan banget web nya gk depo gede2 depo receh kasih maxwin coba gan"",""2025-03-19T07:41:09.206009Z"",419,9.411,""Online Gambling Promotion"",""2025-03-19T07:41:13.063184Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"426,""1"",""JPTOGEL77 gua maen bentar aja lngsg WEDEY gede"",""2025-03-19T07:41:18.457529Z"",420,1.099,""Online Gambling Promotion"",""2025-03-19T07:41:18.457529Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"427,""1"",""Gw cok main kekgini trus gw keinjet berdarah cok"",""2025-03-19T07:41:23.243221Z"",421,4.25,""Not Online Gambling Promotion"",""2025-03-19T07:41:23.243221Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"428,""1"",""main server emang mantep ga turun naek nih jptogel77"",""2025-03-19T07:41:28.015141Z"",422,4.227,""Online Gambling Promotion"",""2025-03-19T07:41:28.015141Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"429,""1"",""hati nemu web J P TO G E L 7 7 berlega hati sehabis bermain kali selisih gw segini brayyy nangis saking senengnya"",""2025-03-19T07:41:33.254781Z"",423,4.742,""Online Gambling Promotion"",""2025-03-19T07:41:33.254781Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"430,""1"",""setia bro main jptogel77 udah ratusan situs bandingin tetep enak jptogel77"",""2025-03-19T07:41:36.255260Z"",424,2.462,""Online Gambling Promotion"",""2025-03-19T07:41:36.255260Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"431,""1"",""Mandalika tujuhtujuh bro gw main gak pakai janji palsu bro cuman gw menang"",""2025-03-19T07:41:38.768732Z"",425,1.966,""Online Gambling Promotion"",""2025-03-19T07:41:38.768732Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
"432,""1"",""seru bang JPTOGEL77 Alhamdulillah pensaran ku terjawabkan mampir disni JPTOGEL77 jamin H0k1"",""2025-03-19T07:41:40.380381Z"",426,1.042,""Online Gambling Promotion"",""2025-03-19T07:41:40.380381Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakðŸ˜…"""
