"annotation_id,""annotator"",""comment"",""created_at"",""id"",""lead_time"",""sentiment"",""updated_at"",""video_id"",""video_title"""
"1,""1"",""Itu yg bikin kotaknya sendiriya gampang tau lompat manayg sengaja biar ga curiga"",""2025-03-17T11:29:27.194649Z"",1,8.982,""Not Online Gambling Promotion"",""2025-03-17T11:29:27.194649Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"2,""1"",""AaaaaaKalah"",""2025-03-17T11:29:31.024788Z"",2,3.321,""Not Online Gambling Promotion"",""2025-03-17T11:29:31.024788Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"3,""1"",""Kasiha banget kk nya"",""2025-03-17T11:29:34.288910Z"",3,2.581,""Not Online Gambling Promotion"",""2025-03-17T11:29:34.288910Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"4,""1"",""lucu lu bang"",""2025-03-17T11:29:36.670327Z"",4,1.856,""Not Online Gambling Promotion"",""2025-03-17T11:29:36.670327Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"5,""1"",""Saran coba JPTOGEL77 bg link nya gak pelit tu mmber uda psti dikasih JP tmn gw jga mawin disitu"",""2025-03-17T11:29:43.049026Z"",5,5.878,""Online Gambling Promotion"",""2025-03-17T11:29:43.049026Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"6,""1"",""gila JPTOGEL77 member kasi JP trus"",""2025-03-17T11:29:47.129133Z"",6,3.611,""Online Gambling Promotion"",""2025-03-17T11:29:47.129133Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"7,""1"",""Akhirnya ngerasain nama nya maxwinemang mantap situs terpercaya JPTOGEL77 mayan buatk modal nongkrong temen temen broo"",""2025-03-17T11:29:51.558748Z"",7,3.919,""Online Gambling Promotion"",""2025-03-17T11:29:51.558748Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"8,""1"",""scam"",""2025-03-17T11:29:53.990282Z"",8,1.98,""Not Online Gambling Promotion"",""2025-03-17T11:29:53.990282Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"9,""1"",""Makasih bang link gacir nya barusan WD gak lumayan kopi rokok mantap depo WD aman lancar jaya emang enak main JPTOGEL77 bang"",""2025-03-17T11:30:00.417582Z"",9,5.894,""Online Gambling Promotion"",""2025-03-17T11:30:00.417582Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"10,""1"",""Up Up Upaku coba bang gacir sltnya ya JPTOGEL77 pantes rame kali comment hahaha"",""2025-03-17T11:30:05.614300Z"",10,4.666,""Online Gambling Promotion"",""2025-03-17T11:30:05.614300Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
