video_id,video_title,comment,label
ZshDHBFmkqU,Jangan salah pilih kotak😅,Itu yg bikin kotaknya sendiriya gampang tau lompat manayg sengaja biar ga curiga,
ZshDHBFmkqU,Jangan salah pilih kotak😅,AaaaaaKalah,
ZshDHBFmkqU,Jangan salah pilih kotak😅,Kasiha banget kk nya,
ZshDHBFmkqU,Jangan salah pilih kotak😅,lucu lu bang,
ZshDHBFmkqU,Jangan salah pilih kotak😅,Saran coba JPTOGEL77 bg link nya gak pelit tu mmber uda psti dikasih JP tmn gw jga mawin disitu,
ZshDHBFmkqU,Jangan salah pilih kotak😅,gila JPTOGEL77 member kasi JP trus,
ZshDHBFmkqU,Jangan salah pilih kotak😅,Akhirnya ngerasain nama nya maxwinemang mantap situs terpercaya JPTOGEL77 mayan buatk modal nongkrong temen temen broo,
ZshDHBFmkqU,Jangan salah pilih kotak😅,scam,No Online Gambling Promotion
ZshDHBFmkqU,Jangan salah pilih kotak😅,"Output Terima kasih bang link gacor nyata barusan WD, gak lumayan kopi rokok mantap depo WD aman lancar, jaya emang enak main slot JPTOGEL77",Online Gambling Promotion
ZshDHBFmkqU,Jangan salah pilih kotak😅,Output Up Up Upaku coba bang gacir slotnya ya JPTOGEL77 pantes ramah kali comment hahaha,Online Gambling Promotion
