video_id,video_title,comment,label
ZshDHBFmkqU,Jangan salah pilih kotak😅,Output: Itu yang membuat kotaknya sendiri ya gampang tahu lompat mana yang sengaja biar ga curiga,No Online Gambling Promotion
ZshDHBFmkqU,Jangan salah pilih kotak😅,AaaaaaKalah,No Online Gambling Promotion
ZshDHBFmkqU,Jangan salah pilih kotak😅,Kasihan banget kknya,No Online Gambling Promotion
ZshDHBFmkqU,Jangan salah pilih kotak😅,Lucu lu bang,No Online Gambling Promotion
ZshDHBFmkqU,Jangan salah pilih kotak😅,Saran coba JPTOGEL77 bg link nya gak pelit tu mmber uda psti dikasih JP tmn gw jga mawin disitu,Online Gambling Promotion
ZshDHBFmkqU,Jangan salah pilih kotak😅,gila JPTOGEL77 member kasi JP trus,Online Gambling Promotion
ZshDHBFmkqU,Jangan salah pilih kotak😅,"Answer: akhirnya ngerasain nama nya maxwinemang, situs terpercaya JPTOGEL77 mayan buat modal nongkrong temen temen broo",Online Gambling Promotion
ZshDHBFmkqU,Jangan salah pilih kotak😅,scam,No Online Gambling Promotion
ZshDHBFmkqU,Jangan salah pilih kotak😅,Output: Terima kasih bang link gacor nya baru-baru ini WD gak lemah kopi rokok mantap depo WD aman lancar jaya emang enak main JPTOGEL77 bang,Online Gambling
ZshDHBFmkqU,Jangan salah pilih kotak😅,Output: Up Up Upaku coba bang gacor slotnya ya JPTOGEL77 pantes rame kali,Online Gambling Promotion
